age,gender,primary_device,educational_to_recreational_ratio,health_impacts,urban_or_rural,age_group,usage_category,health_impact_level,daily_screen_time_min,screen_time_risk
14,Male,Smartphone,0.42,"Poor Sleep, Eye Strain",Urban,11-15 yrs,Balanced,Moderate Risk,239,Excessive Usage
11,Female,Laptop,0.3,Poor Sleep,Urban,11-15 yrs,Mostly Recreational,High Risk,277,Excessive Usage
18,Female,Tv,0.32,Poor Sleep,Urban,16-20 yrs,Mostly Recreational,High Risk,224,Excessive Usage
15,Female,Laptop,0.39,None,Urban,11-15 yrs,Mostly Recreational,High Risk,73,Within Limit
12,Female,Smartphone,0.49,"Poor Sleep, Anxiety",Urban,11-15 yrs,Balanced,Moderate Risk,353,Excessive Usage
14,Female,Smartphone,0.44,Poor Sleep,Urban,11-15 yrs,Balanced,Moderate Risk,293,Excessive Usage
17,Male,Tv,0.48,None,Rural,16-20 yrs,Balanced,Moderate Risk,178,Slightly Over Limit
10,Male,Tv,0.54,None,Urban,5-10 yrs,Mostly Educational,Low Risk,164,Excessive Usage
14,Male,Laptop,0.36,"Poor Sleep, Anxiety",Rural,11-15 yrs,Mostly Recreational,High Risk,277,Excessive Usage
18,Male,Tablet,0.48,"Poor Sleep, Obesity Risk",Urban,16-20 yrs,Balanced,Moderate Risk,194,Slightly Over Limit
18,Male,Tablet,0.44,Poor Sleep,Rural,16-20 yrs,Balanced,Moderate Risk,212,Excessive Usage
15,Female,Tv,0.36,Poor Sleep,Rural,11-15 yrs,Mostly Recreational,High Risk,296,Excessive Usage
12,Male,Smartphone,0.43,Poor Sleep,Urban,11-15 yrs,Balanced,Moderate Risk,275,Excessive Usage
11,Male,Tv,0.48,Eye Strain,Rural,11-15 yrs,Balanced,Moderate Risk,365,Excessive Usage
15,Male,Smartphone,0.4,Poor Sleep,Urban,11-15 yrs,Balanced,Moderate Risk,369,Excessive Usage
15,Female,Smartphone,0.34,Poor Sleep,Urban,11-15 yrs,Mostly Recreational,High Risk,221,Excessive Usage
10,Female,Smartphone,0.43,"Poor Sleep, Eye Strain",Rural,5-10 yrs,Balanced,Moderate Risk,426,Excessive Usage
13,Female,Smartphone,0.48,Obesity Risk,Urban,11-15 yrs,Balanced,Moderate Risk,419,Excessive Usage
12,Male,Smartphone,0.4,Anxiety,Urban,11-15 yrs,Balanced,Moderate Risk,229,Excessive Usage
9,Female,Tv,0.42,None,Urban,5-10 yrs,Balanced,Moderate Risk,0,Within Limit
15,Male,Smartphone,0.49,Obesity Risk,Urban,11-15 yrs,Balanced,Moderate Risk,231,Excessive Usage
13,Female,Smartphone,0.33,Eye Strain,Urban,11-15 yrs,Mostly Recreational,High Risk,243,Excessive Usage
9,Female,Tablet,0.58,None,Urban,5-10 yrs,Mostly Educational,Low Risk,98,Slightly Over Limit
12,Female,Tv,0.33,Eye Strain,Urban,11-15 yrs,Mostly Recreational,High Risk,407,Excessive Usage
8,Male,Tablet,0.54,"Poor Sleep, Anxiety, Obesity Risk",Urban,5-10 yrs,Mostly Educational,Low Risk,191,Excessive Usage
17,Male,Smartphone,0.32,None,Urban,16-20 yrs,Mostly Recreational,High Risk,298,Excessive Usage
13,Female,Smartphone,0.49,None,Urban,11-15 yrs,Balanced,Moderate Risk,111,Within Limit
16,Male,Smartphone,0.5,Poor Sleep,Urban,16-20 yrs,Mostly Educational,Low Risk,253,Excessive Usage
8,Male,Smartphone,0.51,None,Urban,5-10 yrs,Mostly Educational,Low Risk,19,Within Limit
18,Male,Tv,0.43,"Poor Sleep, Obesity Risk",Urban,16-20 yrs,Balanced,Moderate Risk,308,Excessive Usage
18,Male,Smartphone,0.48,Eye Strain,Urban,16-20 yrs,Balanced,Moderate Risk,267,Excessive Usage
17,Female,Smartphone,0.39,None,Rural,16-20 yrs,Mostly Recreational,High Risk,181,Slightly Over Limit
10,Male,Tablet,0.41,None,Urban,5-10 yrs,Balanced,Moderate Risk,130,Slightly Over Limit
14,Male,Smartphone,0.34,Eye Strain,Rural,11-15 yrs,Mostly Recreational,High Risk,257,Excessive Usage
11,Female,Smartphone,0.4,"Poor Sleep, Eye Strain",Urban,11-15 yrs,Balanced,Moderate Risk,320,Excessive Usage
16,Female,Laptop,0.4,"Eye Strain, Obesity Risk",Rural,16-20 yrs,Balanced,Moderate Risk,210,Slightly Over Limit
10,Male,Tv,0.47,Poor Sleep,Urban,5-10 yrs,Balanced,Moderate Risk,701,Excessive Usage
12,Female,Smartphone,0.5,None,Urban,11-15 yrs,Mostly Educational,Low Risk,98,Within Limit
10,Male,Smartphone,0.47,Poor Sleep,Urban,5-10 yrs,Balanced,Moderate Risk,278,Excessive Usage
14,Male,Tv,0.38,Poor Sleep,Urban,11-15 yrs,Mostly Recreational,High Risk,253,Excessive Usage
12,Male,Smartphone,0.5,"Poor Sleep, Eye Strain",Urban,11-15 yrs,Mostly Educational,Low Risk,274,Excessive Usage
16,Female,Tv,0.44,"Poor Sleep, Anxiety",Urban,16-20 yrs,Balanced,Moderate Risk,211,Excessive Usage
14,Female,Smartphone,0.35,"Poor Sleep, Eye Strain",Urban,11-15 yrs,Mostly Recreational,High Risk,281,Excessive Usage
